meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1232,9496,44,3,2024-04-07T05:34:45.149000+00:00,94.401,43.993,18.759,278.0,298.0,False,157.153,"[None, 2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]",298.0
1232,9496,16,3,2024-04-07T05:34:48.649000+00:00,90.624,43.564,18.878,275.0,298.0,False,153.066,"[None, 2048, 2049, 2049, 2048, 2048, 2048, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]",293.0
1232,9496,63,3,2024-04-07T05:34:50.914000+00:00,89.261,44.66,18.853,283.0,299.0,False,152.774,"[None, 2049, 2049, 2048, 2049, 2048, 2048, 2048, 2051]","[2048, 2049, 2049, 2049, 2049, 2051, 2049, 2048, 2048, 2049, 2049]","[2049, 2049, 2049, 2049, 2051]",296.0
1232,9496,27,3,2024-04-07T05:34:53.962000+00:00,88.496,45.229,19.286,273.0,307.0,False,153.011,"[None, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2049, 2048, 2049, 2049, 2049, 2049, 2049, 2049, 2051]","[2051, 2049, 2049, 2049, 2049]",297.0
1232,9496,77,3,2024-04-07T05:34:55.711000+00:00,85.037,44.89,19.064,280.0,295.0,False,148.991,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2049, 2049, 2049, 2049, 2049, 2048, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]",294.0
1232,9496,31,3,2024-04-07T05:35:04.189000+00:00,76.397,44.751,19.089,273.0,299.0,False,140.237,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2049, 2049, 2049, 2049, 2049, 2048, 2048, 2049, 2049]","[2049, 2049, 2049, 2049, 0]",302.0
1232,9496,10,3,2024-04-07T05:35:07.306000+00:00,74.063,45.103,19.196,273.0,300.0,False,138.362,"[None, 2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2049, 2049, 2049, 2049, 2048, 2048, 2049, 2049]","[2049, 2049, 2049, 2049, 2051]",298.0
1232,9496,20,3,2024-04-07T05:35:13.104000+00:00,68.747,45.117,19.132,278.0,303.0,False,132.996,"[None, 2048, 2049, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2049, 2048, 2049, 2049, 2049, 2048, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]",301.0
1232,9496,2,3,2024-04-07T05:35:15.509000+00:00,67.556,45.219,19.828,272.0,303.0,False,132.603,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2049, 2049, 2048, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]",284.0
1232,9496,24,3,2024-04-07T05:35:17.030000+00:00,65.121,44.909,19.259,277.0,301.0,False,129.289,"[None, 2048, 2049, 2049, 2049, 2048, 2048, 2048, 2049]","[2048, 2048, 2049, 2048, 2049, 2049, 2049, 2048, 2049, 2051, 2049]","[2049, 2049, 2049, 2049, 2051]",292.0
1232,9496,18,3,2024-04-07T05:36:48.311000+00:00,,44.866,19.252,,297.0,False,134.682,,"[None, None, None, None, None, None, None, None, 2048, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]",296.0
1232,9496,1,4,2024-04-07T05:37:17.389000+00:00,34.772,43.042,18.658,278.0,292.0,False,96.472,"[2049, 2049, 2049, 2051, 2049, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049, 2049, 2048, 2048, 2048]","[2049, 2049, 2048, 2048, 2048]",284.0
1232,9496,11,4,2024-04-07T05:37:18.352000+00:00,34.694,43.203,18.676,275.0,295.0,False,96.573,"[2049, 2049, 2051, 2049, 2051, 2049, 2048, 2049, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2049, 2049, 2048, 2048, 2049]",296.0
1232,9496,4,4,2024-04-07T05:37:19.227000+00:00,35.062,43.181,18.61,280.0,295.0,False,96.853,"[2049, 2049, 2049, 2049, 2049, 2049, 2048, 2048, 2048]","[2049, 2049, 2048, 2048, 2049, 2048, 2048, 2051, 2048, 2048, 2049]","[2049, 2048, 2048, 2048, 2048]",294.0
1232,9496,55,4,2024-04-07T05:37:19.728000+00:00,35.406,43.259,18.56,277.0,298.0,False,97.225,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2049]",300.0
1232,9496,22,3,2024-04-07T05:37:20.050000+00:00,,,,,,False,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",
1232,9496,14,4,2024-04-07T05:37:20.270000+00:00,35.51,43.299,18.644,279.0,297.0,False,97.453,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2048, 2048, 2048, 2049, 2049, 2048, 2048, 2048]","[2049, 2049, 2048, 2048, 2048]",299.0
1232,9496,81,4,2024-04-07T05:37:21.178000+00:00,35.541,43.643,18.55,278.0,295.0,False,97.734,"[2049, 2049, 2049, 2049, 2049, 2048, 2049, 2049, 2048]","[2049, 2049, 2049, 2048, 2049, 2049, 2049, 2049, 2048, 2048, 2048]","[2048, 2049, 2049, 2048, 2048]",297.0
1232,9496,16,4,2024-04-07T05:37:21.634000+00:00,35.805,43.656,18.807,,297.0,False,98.268,"[2049, 2049, 2049, 2049, 2049, 2049, 2048, 2049, 2049]","[2049, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2049, 2048, 2048, 2048]",301.0
1232,9496,44,4,2024-04-07T05:37:22.282000+00:00,35.858,43.823,18.622,276.0,298.0,False,98.303,"[2049, 2049, 2049, 2049, 2049, 2048, 2048, 2048, 2048]","[2049, 2049, 2049, 2048, 2049, 2048, 2048, 2049, 2048, 2048, 2049]","[2049, 2049, 2049, 2048, 2049]",299.0
1232,9496,22,4,2024-04-07T05:37:23.327000+00:00,35.86,44.164,19.084,277.0,296.0,False,99.108,"[2049, 2049, 2049, 2049, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",299.0
